ospcomp,uspcomp,nchar
Cw  40By  20Sw  10Bf  10Mh  10Sb  10, ,36
Pw  40Bf  20Cw  10Mr  10Pt  10Bw  10,,36
Pt  30Bw  20Pw  20Mr  10He  10Bf  10, ,36
Bw  30Sw  20La  20Bf  10Sb  10By  10, ,36
Cw  30Sb  20Mh  20Sw  10By  10Mr  10, ,36
Sb  40Pt  20La  10Pj  10Bf  10Bw  10, ,36
Pw  30Or  20Bf  20Sb  10Mr  10Sw  10,NA,36
Mh  40Pt  20By  10Be  10Pr  10Sw  10, ,36
Pw  40Pr  20Bf  10Sw  10Mr  10Cw  10, ,36
Sb  40Bw  20Sw  10Bf  10Pt  10Mr  10, ,36
PO  30Bw  30Mr  10Pj  10Sb  10Bf  10, ,36
He  40Mh  20By  10Sw  10Be  10Bf  10, ,36
Pt  40Pl  20Bw  10Or  10Pw  10Bf  10, ,36
Bw  20Mh  20He  20Sb  20Bf  10Or  10, ,36
Pj  20Sw  20Sb  20Pt  20Cw  10Bw  10, ,36
Pw  50Pt  10Pj  10Bf  10Sw  10Mr  10, ,36
Mh  30Be  20Pl  20Pw  10Bd  10Mr  10, ,36
Bf  30Pw  20Sb  20Bw  10Pj  10Cw  10,NA,36
Pw  40Pt  20Pl  10Pr  10Bw  10Sw  10,Pw 100,36
Mh  40By  20Bw  10Sw  10Pw  10Cw  10, ,36
Pt  40Bw  20Sb  10Sw  10Cw  10Pj  10,Bf  50Mr  30Bw  10Sb  10,36
PO  50Bw  10Mh  10Pr  10Pw  10Mr  10,,36
Mh  50Bw  10Cw  10By  10Mr  10Sb  10, ,36
Sw  40Pt  20Bw  10Pr  10Cw  10Pj  10, ,36
He  30Mr  20By  20Cw  10Bf  10Sb  10, ,36
Pt  40Bf  20Sb  10Mr  10By  10He  10, ,36
Pt  30Or  20Mr  20Mh  10Ab  10Pw  10,NA,36
Sb  50PO  10Pw  10Sw  10Bw  10Pj  10, ,36
Mr  30Mh  20Pt  20Pw  10Bw  10Or  10, ,36
Pt  30Pr  20Pl  20Mh  10Mr  10Sw  10, ,36
Mh  40Mr  20He  10Pt  10Bw  10Bf  10, ,36
Mh  40By  20He  10Bf  10Sw  10Mr  10,Mh 100,36
Sb  30Cw  20La  20Pt  10Bf  10Bw  10, ,36
Mr  30Pw  30Pt  10Ow  10Iw  10Ab  10, ,36
Sb  30Bw  30Bf  10Sw  10Pj  10Pt  10, ,36
By  30Mh  20Cw  20Pw  10PO  10Be  10, ,36
Sb  30Bw  30Pt  10Pb  10Sw  10Bf  10, ,36
Pj  30Pt  20Sb  20Sw  10Bw  10Bf  10, ,36
Pt  40Bw  20Sw  10Bf  10Mr  10Sb  10, ,36
Bf  30Bw  20Sb  20Sw  10Pt  10Pb  10, ,36
Pj  30Bw  20Sb  20Pt  10Cw  10Pr  10,Sb  30Pj  20Bf  20Bw  20Cw  10,36
Bf  30CE  20Sw  20PO  10Mr  10Bw  10,,36
Cw  30Pw  20Bw  20Pt  10Mr  10Sb  10, ,36
Pr  30Pw  20Bw  20Pj  10Pt  10Sb  10, ,36
Mr  30Bw  20Bf  20Mh  10PO  10Bd  10,,36
Bf  40Bw  20Sw  10Pt  10Pb  10Sb  10, ,36
Bw  40Pr  20Pj  10Mr  10Sb  10Or  10, ,36
By  50Mh  10Sb  10Bf  10Sw  10Mr  10, ,36
Bf  40Pt  20Bw  10Sw  10Or  10Sb  10, ,36
Pw  30Pt  30Bw  10Sw  10Pr  10Pl  10,Pw 100,36
Pt  30Sb  30Sw  10Bf  10Bw  10Pb  10, ,36
Mh  30Sw  20Bw  20Sb  10By  10Bf  10, ,36
Mh  50Mr  10He  10PO  10Aw  10Sw  10,,36
He  30Bw  20By  20Mr  10Or  10Pw  10, ,36
Bw  30Sb  20Bf  20Mr  10Sw  10Pt  10, ,36
By  40Mh  20Bw  10Sw  10Cw  10Bf  10, ,36
Cw  30Ab  20Mr  20Ms  10Pw  10He  10, ,36
By  30Bf  20Cw  20Mr  10Ab  10Sw  10, ,36
Mh  30Mr  20Or  20By  10Pw  10Aw  10,,36
PO  30Bw  20Pr  20Sw  10Cw  10Bf  10,,36
Bw  40Mr  20Sb  10Sw  10Pt  10Ab  10, ,36
Bw  30Sw  20Bf  20Pw  10Cw  10Mr  10, ,36
Pw  40Mh  20Cw  10Bf  10By  10Bw  10, ,36
Sb  20Sw  20Pt  20Bf  20Bw  10Cw  10, ,36
Bw  40Sb  20Pr  10Pw  10Pj  10Mr  10, ,36
Mh  40Mr  20Bd  10PO  10Pw  10Sw  10,,36
Bw  40Ab  20Bf  10Sw  10Pw  10Sb  10, ,36
Bw  40Sb  20Pj  10Sw  10Bf  10La  10, ,36
Or  30Mr  30By  10Pw  10Bw  10Mh  10, ,36
Bf  30Cw  20Pw  20Pt  10Mr  10Sb  10, ,36
Pw  30Mh  20Or  20Pt  10Bw  10Sw  10, ,36
Mh  50Mr  10PO  10Bw  10Bd  10Bf  10,,36
Bw  40Pt  20Pr  10Mh  10Bd  10Sw  10, ,36
Bw  30Pj  20Pt  20Sb  10Bf  10Ab  10, ,36
Or  30Mr  30He  10Pl  10Mh  10Be  10, ,36
Bw  40Cw  20Mr  10Bf  10Sw  10Mh  10, ,36
Sb  40Sw  20La  10Cw  10Bf  10Bw  10, ,36
Mh  40Bw  20By  10Sb  10Mr  10Pt  10,NA,36
Bw  30Pt  20Sw  20Sb  10Pj  10Bf  10, ,36
Sb  40Sw  20Pt  10Bw  10Bf  10Pj  10, ,36
Pw  40Or  20Mh  10Pr  10Pt  10Mr  10, ,36
Pt  30Bf  30Pw  10Cw  10Ab  10La  10, ,36
Pt  30Bf  20Mr  20Cw  10Sb  10Bw  10, ,36
Sb  40By  20Ab  10Bf  10Cw  10Pt  10, ,36
Bw  30Pt  20Pj  20Sb  10Pr  10Mr  10,NA,36
Mr  30Pl  20Bf  20Sb  10Bw  10Pw  10,NA,36
Bw  30Pt  20Mr  20Sb  10Bf  10Pw  10, ,36
Bw  30Sw  20Mr  20Sb  10Bf  10Pt  10, ,36
Mr  30Or  20Cw  20Ab  10Bw  10Pt  10, ,36
Bf  30Mr  20Ab  20Sw  10Bw  10Pw  10, ,36
Pw  40Pt  20Sb  10Bw  10Bf  10Mr  10, ,36
Cw  30He  30Bw  10Mr  10Mh  10Pl  10,NA,36
Mh  50By  10Sb  10Mr  10Cw  10Sw  10, ,36
Sb  40Bf  20Pb  10Sw  10Bw  10Pt  10, ,36
Mh  30Bw  20Mr  20Pt  10Ab  10Cb  10, ,36
Mh  20Sb  20Bf  20Bw  20Sw  10By  10, ,36
Pt  30Bf  30Bw  10Sw  10Sb  10Ab  10, ,36
Bw  40Sb  20Pw  10Pj  10Mr  10PO  10, ,36
